,Unnamed: 0,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
14,15,Danilo,"€ 19,808","€ 1,030,000","€ 1,049,300",D,35,Brazil,Bologna,Serie A,2019-2020
15,16,Stefano Denswil,"€ 19,808","€ 1,030,000","€ 1,049,300",D,26,Netherlands,Bologna,Serie A,2019-2020
16,17,Ladislav Krejci,"€ 19,615","€ 1,020,000","€ 1,039,113",F,27,Czech Republic,Bologna,Serie A,2019-2020
17,18,Mattias Svanberg,"€ 17,885","€ 930,000","€ 947,426",M,20,Sweden,Bologna,Serie A,2019-2020
18,19,Mattia Bani,"€ 17,885","€ 930,000","€ 947,426",D,25,Italy,Bologna,Serie A,2019-2020
19,20,Nehuén Paz,"€ 15,962","€ 830,000","€ 845,552",D,26,Argentina,Bologna,Serie A,2019-2020
20,21,Takehiro Tomiyasu,"€ 14,808","€ 770,000","€ 784,428",D,20,Japan,Bologna,Serie A,2019-2020
21,22,Angelo da Costa,"€ 12,500","€ 650,000","€ 662,180",K,35,Brazil,Bologna,Serie A,2019-2020
22,23,Jerdy Schouten,"€ 12,308","€ 640,000","€ 651,992",M,22,Netherlands,Bologna,Serie A,2019-2020
23,24,Gabriele Corbo,"€ 10,769","€ 560,000","€ 570,493",D,19,Italy,Bologna,Serie A,2019-2020
24,25,Musa Barrow,"€ 8,846","€ 460,000","€ 468,619",F,21,The Gambia,Bologna,Serie A,2019-2020
25,26,Mouhamadou Sarr,"€ 1,346","€ 70,000","€ 71,312",K,22,Senegal,Bologna,Serie A,2019-2020
26,27,Sebastian Breza,"€ 1,154","€ 60,000","€ 61,124",K,21,Canada,Bologna,Serie A,2019-2020
0,1,Mario Balotelli,"€ 36,923","€ 1,920,000","€ 1,955,977",F,29,Italy,Brescia,Serie A,2019-2020
1,2,Alessandro Matri,"€ 35,577","€ 1,850,000","€ 1,884,665",F,35,Italy,Brescia,Serie A,2019-2020
2,3,Alfredo Donnarumma,"€ 21,346","€ 1,110,000","€ 1,130,799",F,28,Italy,Brescia,Serie A,2019-2020
3,4,Giangiacomo Magnani,"€ 21,346","€ 1,110,000","€ 1,130,799",D,23,Italy,Brescia,Serie A,2019-2020
4,5,Rômulo,"€ 21,346","€ 1,110,000","€ 1,130,799",D,32,Italy,Brescia,Serie A,2019-2020
