,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
578,es ESP,FW,20,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Xesc Regis
579,es ESP,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Markel Areitio
580,rs SRB,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Vukašin Jovanović
581,es ESP,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Ángel López
582,es ESP,MF,27,36,35,"3,163",35.1,7,5,7,0,0,10,1,0.20,0.14,0.34,0.20,0.34,2.9,2.9,2.3,5.1,0.08,0.06,0.15,0.08,0.15,Asier Illarramendi
583,es ESP,DF,21,35,32,"2,918",32.4,0,4,0,0,0,3,1,0.00,0.12,0.12,0.00,0.12,0.6,0.6,3.6,4.2,0.02,0.11,0.13,0.02,0.13,Álvaro Odriozola
584,br BRA,FW,25,34,32,"2,770",30.8,15,4,12,3,4,4,0,0.49,0.13,0.62,0.39,0.52,11.1,7.9,4.6,12.5,0.36,0.15,0.51,0.26,0.41,Willian José
585,es ESP,"FW,MF",20,35,31,"2,772",30.8,12,5,12,0,0,3,0,0.39,0.16,0.55,0.39,0.55,8.1,8.1,5.0,13.2,0.26,0.16,0.43,0.26,0.43,Mikel Oyarzabal
586,ar ARG,GK,25,26,26,"2,340",26.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Gerónimo Rulli
587,es ESP,DF,23,27,26,"2,326",25.8,3,0,3,0,0,9,1,0.12,0.00,0.12,0.12,0.12,2.3,2.3,0.0,2.3,0.09,0.00,0.09,0.09,0.09,Diego Llorente
588,es ESP,MF,31,31,26,"2,242",24.9,0,2,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,2.0,2.0,1.2,3.2,0.08,0.05,0.13,0.08,0.13,David Zurutuza
589,es ESP,"MF,FW",33,26,24,"1,929",21.4,3,5,2,1,1,1,0,0.14,0.23,0.37,0.09,0.33,2.5,1.7,4.9,6.6,0.12,0.23,0.34,0.08,0.31,Xabi Prieto
590,es ESP,"MF,FW",26,36,20,"1,928",21.4,4,5,4,0,0,4,0,0.19,0.23,0.42,0.19,0.42,3.4,3.4,6.0,9.5,0.16,0.28,0.44,0.16,0.44,Sergio Canales
591,es ESP,DF,29,20,20,"1,791",19.9,0,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,0.9,0.9,0.5,1.4,0.05,0.02,0.07,0.05,0.07,Raúl Navas
592,pt POR,DF,23,20,18,"1,635",18.2,1,2,1,0,0,1,0,0.06,0.11,0.17,0.06,0.17,0.4,0.4,0.9,1.3,0.02,0.05,0.07,0.02,0.07,Kévin Rodrigues
593,es ESP,DF,23,19,18,"1,596",17.7,3,2,3,0,0,1,0,0.17,0.11,0.28,0.17,0.28,1.3,1.3,0.3,1.6,0.07,0.02,0.09,0.07,0.09,Aritz Elustondo
594,be BEL,FW,22,28,18,"1,573",17.5,3,5,3,0,0,4,0,0.17,0.29,0.46,0.17,0.46,6.3,6.3,5.5,11.8,0.36,0.32,0.68,0.36,0.68,Adnan Januzaj
595,es ESP,"FW,MF",24,30,18,"1,489",16.5,8,2,8,0,0,3,0,0.48,0.12,0.60,0.48,0.60,5.2,5.2,0.8,6.0,0.31,0.05,0.36,0.31,0.36,Juanmi
596,es ESP,DF,31,17,17,"1,528",17.0,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,1.1,1.3,0.01,0.07,0.08,0.01,0.08,Alberto de la Bella
597,es ESP,MF,20,25,16,"1,582",17.6,1,2,1,0,0,3,1,0.06,0.11,0.17,0.06,0.17,0.6,0.6,0.2,0.7,0.03,0.01,0.04,0.03,0.04,Igor Zubeldia
598,es ESP,DF,26,12,12,"1,055",11.7,1,1,1,0,0,0,0,0.09,0.09,0.17,0.09,0.17,1.0,1.0,0.9,1.9,0.09,0.08,0.16,0.09,0.16,Iñigo Martínez
599,es ESP,GK,33,9,9,764,8.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Miguel Ángel Moyá
600,mx MEX,DF,29,8,8,720,8.0,1,0,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,1.6,1.6,0.1,1.7,0.20,0.01,0.21,0.20,0.21,Héctor Moreno
601,es ESP,GK,30,4,3,316,3.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Toño Ramírez
602,es ESP,MF,24,6,3,221,2.5,0,1,0,0,0,0,1,0.00,0.41,0.41,0.00,0.41,0.0,0.0,0.6,0.6,0.01,0.25,0.26,0.01,0.26,Rubén Pardo
603,mx MEX,FW,28,13,2,382,4.2,1,0,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,1.7,1.7,0.5,2.2,0.40,0.12,0.52,0.40,0.52,Carlos Vela
604,es ESP,FW,30,11,2,232,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.0,1.2,0.45,0.00,0.45,0.45,0.45,Imanol Agirretxe
605,es ESP,"FW,MF",22,11,1,181,2.0,1,0,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,1.3,1.3,0.1,1.3,0.64,0.03,0.67,0.64,0.67,Jon Bautista
