,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
555,rs SRB,MF,26,36,35,"3,080",34.2,10,1,3,7,8,8,0,0.29,0.03,0.32,0.09,0.12,8.2,1.8,1.0,2.9,0.24,0.03,0.27,0.05,0.08,Luka Milivojević
556,ci CIV,"FW,MF",24,29,28,"2,549",28.3,9,3,9,0,0,5,0,0.32,0.11,0.42,0.32,0.42,9.2,9.2,4.7,13.9,0.33,0.17,0.49,0.33,0.49,Wilfried Zaha
557,fr FRA,MF,31,31,28,"2,376",26.4,0,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04,2.3,2.3,4.1,6.4,0.09,0.15,0.24,0.09,0.24,Yohan Cabaye
558,sct SCO,MF,29,33,27,"2,431",27.0,5,1,5,0,0,5,0,0.19,0.04,0.22,0.19,0.22,3.7,3.7,2.2,5.9,0.14,0.08,0.22,0.14,0.22,James McArthur
559,wls WAL,GK,30,27,27,"2,430",27.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.02,0.02,0.00,0.02,Wayne Hennessey
560,eng ENG,DF,28,28,27,"2,387",26.5,3,0,3,0,0,8,0,0.11,0.00,0.11,0.11,0.11,2.2,2.2,0.1,2.3,0.08,0.00,0.09,0.08,0.09,James Tomkins
561,nl NED,DF,26,28,25,"2,184",24.3,5,1,5,0,0,7,0,0.21,0.04,0.25,0.21,0.25,3.1,3.1,2.1,5.2,0.13,0.09,0.21,0.13,0.21,Patrick van Aanholt
562,be BEL,FW,26,31,24,"2,240",24.9,3,5,2,1,2,6,0,0.12,0.20,0.32,0.08,0.28,10.2,8.6,2.9,11.5,0.41,0.12,0.53,0.34,0.46,Christian Benteke
563,eng ENG,MF,21,24,21,"1,874",20.8,2,3,2,0,0,1,0,0.10,0.14,0.24,0.10,0.24,3.5,3.5,3.2,6.7,0.17,0.15,0.32,0.17,0.32,Ruben Loftus-Cheek
564,gh GHA,"DF,MF",24,24,21,"1,745",19.4,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,1.2,1.2,1.0,2.2,0.06,0.05,0.12,0.06,0.12,Jeffrey Schlupp
565,eng ENG,DF,27,19,19,"1,613",17.9,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,0.9,1.1,0.01,0.05,0.06,0.01,0.06,Joel Ward
566,fr FRA,DF,27,19,18,"1,600",17.8,1,2,1,0,0,1,0,0.06,0.11,0.17,0.06,0.17,1.2,1.2,1.1,2.3,0.07,0.06,0.13,0.07,0.13,Mamadou Sakho
567,nl NED,DF,19,21,17,"1,596",17.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.6,0.01,0.02,0.03,0.01,0.03,Timothy Fosu-Mensah
568,eng ENG,DF,30,17,16,"1,435",15.9,1,0,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,2.3,2.3,0.2,2.5,0.14,0.01,0.16,0.14,0.16,Scott Dann
569,eng ENG,DF,27,15,12,"1,195",13.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.6,0.03,0.01,0.04,0.03,0.04,Martin Kelly
570,ar ARG,GK,38,11,11,990,11.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Julián Speroni
571,eng ENG,DF,19,7,7,627,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.03,0.03,0.00,0.03,Aaron Wan-Bissaka
572,eng ENG,MF,31,10,6,645,7.2,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.5,1.7,0.19,0.07,0.26,0.19,0.26,Jason Puncheon
573,ml MLI,"FW,MF",29,16,4,478,5.3,3,0,3,0,0,0,0,0.56,0.00,0.56,0.56,0.56,1.9,1.9,1.1,3.0,0.36,0.20,0.56,0.36,0.56,Bakary Sako
574,nl NED,"MF,DF",20,12,4,442,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Jaïro Riedewald
575,no NOR,FW,21,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.5,1.0,0.13,0.12,0.25,0.13,0.25,Alexander Sørloth
576,kr KOR,"FW,MF",29,7,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.02,0.05,0.07,0.02,0.07,Lee Chung-yong
577,ie IRL,DF,36,2,1,96,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Damien Delaney
578,eng ENG,FW,18,1,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.20,0.00,0.20,0.20,0.20,Levi Lumeka
579,eng ENG,FW,24,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Freddie Ladapo
580,sl SLE,MF,21,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Sullay Kaikai
581,sn SEN,DF,27,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Pape Souaré
582,eng ENG,"FW,MF",22,0,0,,,,,,,,,,,,,,,,,,,,,,,,Keshi Anderson
583,br BRA,GK,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,Diego Cavalieri
584,eng ENG,FW,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,James Daly
585,eng ENG,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Dion-Curtis Henry
586,pl POL,DF,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,Jarosław Jach
587,eng ENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Nya Kirby
588,be BEL,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Jason Lokilo
589,eng ENG,MF,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,Jordon Mutch
590,mk MKD,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Erdal Rakip
591,br BRA,GK,23,36,36,"3,194",35.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Ederson
592,be BEL,MF,26,37,36,"3,073",34.1,8,16,8,0,0,2,0,0.23,0.47,0.70,0.23,0.70,5.1,5.1,11.1,16.2,0.15,0.32,0.48,0.15,0.48,Kevin De Bruyne
593,ar ARG,DF,29,34,33,"2,967",33.0,4,0,4,0,0,9,0,0.12,0.00,0.12,0.12,0.12,2.7,2.7,0.9,3.6,0.08,0.03,0.11,0.08,0.11,Nicolás Otamendi
594,br BRA,MF,32,34,33,"2,881",32.0,5,3,5,0,0,7,0,0.16,0.09,0.25,0.16,0.25,2.1,2.1,2.8,4.9,0.06,0.09,0.15,0.06,0.15,Fernandinho
595,eng ENG,DF,27,32,32,"2,785",30.9,0,6,0,0,0,3,2,0.00,0.19,0.19,0.00,0.19,0.6,0.6,4.6,5.3,0.02,0.15,0.17,0.02,0.17,Kyle Walker
596,eng ENG,FW,22,33,29,"2,587",28.7,18,11,17,1,1,4,2,0.63,0.38,1.01,0.59,0.97,16.2,15.3,7.3,22.6,0.56,0.25,0.82,0.53,0.79,Raheem Sterling
597,es ESP,MF,31,29,28,"2,430",27.0,9,11,9,0,0,5,0,0.33,0.41,0.74,0.33,0.74,7.2,7.2,8.4,15.6,0.27,0.31,0.58,0.27,0.58,David Silva
598,de GER,FW,21,32,27,"2,419",26.9,10,15,10,0,0,4,0,0.37,0.56,0.93,0.37,0.93,5.8,5.8,6.8,12.5,0.21,0.25,0.47,0.21,0.47,Leroy Sané
599,ar ARG,FW,29,25,22,"1,963",21.8,21,6,17,4,4,2,0,0.96,0.28,1.24,0.78,1.05,16.2,13.1,5.6,18.7,0.75,0.26,1.00,0.60,0.86,Sergio Agüero
