,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
538,de GER,DF,19,12,7,663,7.4,1,0,1,0,0,0,1,0.14,0.00,0.14,0.14,0.14,0.9,0.9,0.1,1.0,0.13,0.01,0.13,0.13,0.13,Jordan Torunarigha
539,de GER,"FW,MF",27,16,6,617,6.9,2,1,2,0,0,0,0,0.29,0.15,0.44,0.29,0.44,0.9,0.9,0.3,1.1,0.12,0.04,0.17,0.12,0.17,Alexander Esswein
540,de GER,"MF,DF",20,11,5,424,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.05,0.04,0.10,0.05,0.10,Maximilian Mittelstädt
541,de GER,GK,29,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Thomas Kraft
542,jp JPN,FW,26,7,2,211,2.3,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.8,0.8,0.00,0.34,0.34,0.00,0.34,Genki Haraguchi
543,de GER,"MF,FW",28,3,0,56,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.51,0.00,0.51,0.51,0.51,Julian Schieber
544,ch SUI,MF,28,3,0,52,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.13,0.05,0.19,0.13,0.19,Valentin Stocker
545,hu HUN,"FW,MF",18,2,0,27,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Palkó Dárdai
546,de GER,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Florian Baak
547,de GER,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Maurice Covic
548,us USA,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Jonathan Klinsmann
549,de GER,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Dennis Smarsch
