,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,player
511,br BRA,DF,19,13,10,910,10.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.01,0.04,0.05,0.01,0.05,Rogério
512,it ITA,DF,32,9,9,739,8.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.05,0.05,0.00,0.05,Marcello Gazzola
513,sn SEN,FW,24,13,8,750,8.3,2,1,1,1,1,0,0,0.24,0.12,0.36,0.12,0.24,3.5,2.7,1.0,3.7,0.42,0.13,0.55,0.32,0.45,Khouma Babacar
514,uy URU,DF,21,8,8,701,7.8,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,0.5,0.5,0.0,0.5,0.06,0.00,0.06,0.06,0.06,Mauricio Lemos
515,it ITA,FW,32,23,7,914,10.2,3,0,2,1,3,1,0,0.30,0.00,0.30,0.20,0.20,7.0,4.6,1.0,5.5,0.69,0.09,0.78,0.45,0.55,Alessandro Matri
516,it ITA,"FW,MF",27,30,7,825,9.2,0,1,0,0,0,6,0,0.00,0.11,0.11,0.00,0.11,3.1,3.0,0.7,3.7,0.34,0.08,0.42,0.33,0.41,Antonino Ragusa
517,it ITA,MF,20,10,5,458,5.1,1,0,1,0,0,3,1,0.20,0.00,0.20,0.20,0.20,0.2,0.2,0.1,0.3,0.04,0.02,0.06,0.04,0.06,Francesco Cassata
518,it ITA,DF,23,8,5,421,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.01,0.01,0.03,0.01,0.03,Cristian Dell'Orco
519,nl NED,DF,24,7,5,416,4.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Timo Letschert
520,it ITA,MF,34,7,2,206,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06,Davide Biondini
521,it ITA,GK,36,2,1,104,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Gianluca Pegolo
522,it ITA,"MF,FW",18,3,0,43,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Nicholas Pierini
523,it ITA,"FW,MF",18,3,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.26,1.73,1.99,0.26,1.99,Gianluca Scamacca
524,it ITA,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Manuel Ferrini
525,it ITA,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Davide Frattesi
526,it ITA,FW,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,Pietro Iemmello
