,Unnamed: 0,Player,Gross P/W(IN GBP),Gross P/Y(IN GBP),Adj. Gross(IN GBP),Pos. DFKM,Age,Country,Team,League,Season
11,12,Mario Lemina,"£ 40,000","£ 2,080,000","£ 2,080,000",M,27,Gabon,Fulham,Premier League,2020-2021
12,13,Ivan Cavaleiro,"£ 37,500","£ 1,950,000","£ 1,950,000",F,27,Portugal,Fulham,Premier League,2020-2021
13,14,Bobby Reid,"£ 37,500","£ 1,950,000","£ 1,950,000",F,27,Jamaica,Fulham,Premier League,2020-2021
14,15,Josh Onomah,"£ 30,000","£ 1,560,000","£ 1,560,000",F,23,England,Fulham,Premier League,2020-2021
15,16,Joe Bryan,"£ 30,000","£ 1,560,000","£ 1,560,000",D,27,England,Fulham,Premier League,2020-2021
16,17,Antonee Robinson,"£ 27,500","£ 1,430,000","£ 1,430,000",D,23,United States,Fulham,Premier League,2020-2021
17,18,Tim Ream,"£ 27,000","£ 1,404,000","£ 1,404,000",D,33,United States,Fulham,Premier League,2020-2021
18,19,Maxime Le Marchand,"£ 25,000","£ 1,300,000","£ 1,300,000",D,31,France,Fulham,Premier League,2020-2021
19,20,Ola Aina,"£ 24,000","£ 1,248,000","£ 1,248,000",D,24,Nigeria,Fulham,Premier League,2020-2021
20,21,Terence Kongolo,"£ 22,000","£ 1,144,000","£ 1,144,000",D,26,Netherlands,Fulham,Premier League,2020-2021
21,22,Kevin McDonald,"£ 22,000","£ 1,144,000","£ 1,144,000",M,31,Scotland,Fulham,Premier League,2020-2021
22,23,Michael Hector,"£ 18,500","£ 962,000","£ 962,000",D,28,Jamaica,Fulham,Premier League,2020-2021
23,24,Neeskens Kebano,"£ 13,462","£ 700,024","£ 700,024",F,28,Democratic Republic of the Congo,Fulham,Premier League,2020-2021
24,25,Josh Maja,"£ 12,885","£ 670,000","£ 670,000",F,22,Nigeria,Fulham,Premier League,2020-2021
25,26,Aboubakar Kamara,"£ 12,500","£ 650,000","£ 650,000",F,25,France,Fulham,Premier League,2020-2021
26,27,Harrison Reed,"£ 12,000","£ 624,000","£ 624,000",M,25,England,Fulham,Premier League,2020-2021
27,28,Stefan Johansen,"£ 10,000","£ 520,000","£ 520,000",M,29,Norway,Fulham,Premier League,2020-2021
28,29,Denis Odoi,"£ 8,900","£ 462,800","£ 462,800",D,32,Belgium,Fulham,Premier League,2020-2021
29,30,Marek Rodak,"£ 4,500","£ 234,000","£ 234,000",K,23,Slovakia,Fulham,Premier League,2020-2021
30,31,Sylvester Jasper,"£ 1,500","£ 78,000","£ 78,000",F,19,England,Fulham,Premier League,2020-2021
31,32,Jay Stansfield,£ 750,"£ 39,000","£ 39,000",F,17,England,Fulham,Premier League,2020-2021
32,33,George Wickens,£ 750,"£ 39,000","£ 39,000",K,18,England,Fulham,Premier League,2020-2021
0,1,Raphinha,"£ 63,500","£ 3,302,000","£ 3,302,000",F,23,Brazil,Leeds,Premier League,2020-2021
1,2,Rodrigo,"£ 57,692","£ 3,000,000","£ 3,000,000",F,29,Spain,Leeds,Premier League,2020-2021
2,3,Robin Koch,"£ 46,154","£ 2,400,000","£ 2,400,000",D,24,Germany,Leeds,Premier League,2020-2021
3,4,Kiko Casilla,"£ 40,000","£ 2,080,000","£ 2,080,000",K,34,Spain,Leeds,Premier League,2020-2021
4,5,Patrick Bamford,"£ 35,000","£ 1,820,000","£ 1,820,000",F,27,England,Leeds,Premier League,2020-2021
5,6,Hélder Costa,"£ 32,500","£ 1,690,000","£ 1,690,000",F,26,Portugal,Leeds,Premier League,2020-2021
6,7,Kalvin Phillips,"£ 30,000","£ 1,560,000","£ 1,560,000",M,24,England,Leeds,Premier League,2020-2021
7,8,Diego Llorente,"£ 22,000","£ 1,144,000","£ 1,144,000",D,27,Spain,Leeds,Premier League,2020-2021
8,9,Illan Meslier,"£ 21,500","£ 1,118,000","£ 1,118,000",K,20,France,Leeds,Premier League,2020-2021
9,10,Adam Forshaw,"£ 20,000","£ 1,040,000","£ 1,040,000",M,29,England,Leeds,Premier League,2020-2021
10,11,Pablo Hernández,"£ 19,000","£ 988,000","£ 988,000",F,35,Spain,Leeds,Premier League,2020-2021
11,12,Jack Harrison,"£ 15,000","£ 780,000","£ 780,000",F,23,England,Leeds,Premier League,2020-2021
12,13,Ezgjan Alioski,"£ 15,000","£ 780,000","£ 780,000",M,28,North Macedonia,Leeds,Premier League,2020-2021
13,14,Gaetano Berardi,"£ 12,500","£ 650,000","£ 650,000",D,32,Switzerland,Leeds,Premier League,2020-2021
14,15,Joe Gelhardt,"£ 9,750","£ 507,000","£ 507,000",F,18,England,Leeds,Premier League,2020-2021
15,16,Ian Poveda,"£ 8,250","£ 429,000","£ 429,000",F,20,England,Leeds,Premier League,2020-2021
16,17,Luke Ayling,"£ 8,000","£ 416,000","£ 416,000",D,29,England,Leeds,Premier League,2020-2021
17,18,Stuart Dallas,"£ 8,000","£ 416,000","£ 416,000",D,29,Northern Ireland,Leeds,Premier League,2020-2021
18,19,Mateusz Klich,"£ 7,750","£ 403,000","£ 403,000",M,30,Poland,Leeds,Premier League,2020-2021
19,20,Pascal Struijk,"£ 7,115","£ 370,000","£ 370,000",D,21,Netherlands,Leeds,Premier League,2020-2021
20,21,Liam Cooper,"£ 6,500","£ 338,000","£ 338,000",D,29,Scotland,Leeds,Premier League,2020-2021
21,22,Ouasim Bouy,"£ 4,000","£ 208,000","£ 208,000",M,27,Morocco,Leeds,Premier League,2020-2021
22,23,Tyler Roberts,"£ 3,500","£ 182,000","£ 182,000",F,21,Wales,Leeds,Premier League,2020-2021
23,24,Jamie Shackleton,"£ 1,500","£ 78,000","£ 78,000",M,21,England,Leeds,Premier League,2020-2021
24,25,Conor Shaughnessy,"£ 1,500","£ 78,000","£ 78,000",M,24,Ireland,Leeds,Premier League,2020-2021
25,26,Oliver Casey,"£ 1,200","£ 62,400","£ 62,400",D,20,England,Leeds,Premier League,2020-2021
26,27,Elia Caprile,"£ 1,000","£ 52,000","£ 52,000",K,19,Italy,Leeds,Premier League,2020-2021
27,28,Leif Davis,£ 577,"£ 30,000","£ 30,000",D,20,England,Leeds,Premier League,2020-2021
0,1,Jamie Vardy,"£ 140,000","£ 7,280,000","£ 7,280,000",F,33,England,Leicester,Premier League,2020-2021
1,2,Kasper Schmeichel,"£ 130,000","£ 6,760,000","£ 6,760,000",K,33,Denmark,Leicester,Premier League,2020-2021
2,3,James Maddison,"£ 110,000","£ 5,720,000","£ 5,720,000",F,23,England,Leicester,Premier League,2020-2021
3,4,Jonny Evans,"£ 100,000","£ 5,200,000","£ 5,200,000",D,32,Northern Ireland,Leicester,Premier League,2020-2021
4,5,Islam Slimani,"£ 80,000","£ 4,160,000","£ 4,160,000",F,32,Algeria,Leicester,Premier League,2020-2021
5,6,Kelechi Iheanacho,"£ 80,000","£ 4,160,000","£ 4,160,000",F,24,Nigeria,Leicester,Premier League,2020-2021
6,7,Cengiz Ünder,"£ 77,500","£ 4,030,000","£ 4,030,000",F,23,Turkey,Leicester,Premier League,2020-2021
7,8,Wilfred Ndidi,"£ 75,000","£ 3,900,000","£ 3,900,000",M,23,Nigeria,Leicester,Premier League,2020-2021
8,9,Dennis Praet,"£ 75,000","£ 3,900,000","£ 3,900,000",M,26,Belgium,Leicester,Premier League,2020-2021
9,10,Ricardo Pereira,"£ 70,000","£ 3,640,000","£ 3,640,000",D,27,Portugal,Leicester,Premier League,2020-2021
10,11,Timothy Castagne,"£ 65,000","£ 3,380,000","£ 3,380,000",D,24,Belgium,Leicester,Premier League,2020-2021
11,12,Wes Morgan,"£ 60,000","£ 3,120,000","£ 3,120,000",D,36,Jamaica,Leicester,Premier League,2020-2021
12,13,Nampalys Mendy,"£ 55,000","£ 2,860,000","£ 2,860,000",M,28,France,Leicester,Premier League,2020-2021
13,14,Demarai Gray,"£ 55,000","£ 2,860,000","£ 2,860,000",F,24,England,Leicester,Premier League,2020-2021
14,15,Christian Fuchs,"£ 50,000","£ 2,600,000","£ 2,600,000",D,34,Austria,Leicester,Premier League,2020-2021
15,16,Ayoze Pérez,"£ 45,000","£ 2,340,000","£ 2,340,000",F,27,Spain,Leicester,Premier League,2020-2021
16,17,Caglar Söyüncü,"£ 45,000","£ 2,340,000","£ 2,340,000",D,24,Turkey,Leicester,Premier League,2020-2021
17,18,Marc Albrighton,"£ 45,000","£ 2,340,000","£ 2,340,000",M,30,England,Leicester,Premier League,2020-2021
18,19,Danny Ward,"£ 40,000","£ 2,080,000","£ 2,080,000",K,27,Wales,Leicester,Premier League,2020-2021
19,20,Youri Tielemans,"£ 35,000","£ 1,820,000","£ 1,820,000",M,23,Belgium,Leicester,Premier League,2020-2021
20,21,Eldin Jakupovic,"£ 23,077","£ 1,200,000","£ 1,200,000",K,36,Switzerland,Leicester,Premier League,2020-2021
21,22,Daniel Amartey,"£ 20,000","£ 1,040,000","£ 1,040,000",M,25,Ghana,Leicester,Premier League,2020-2021
22,23,Wesley Fofana,"£ 19,231","£ 1,000,000","£ 1,000,000",D,19,France,Leicester,Premier League,2020-2021
23,24,James Justin,"£ 10,000","£ 520,000","£ 520,000",D,22,England,Leicester,Premier League,2020-2021
24,25,Harvey Barnes,"£ 10,000","£ 520,000","£ 520,000",M,22,England,Leicester,Premier League,2020-2021
25,26,Luke Thomas,"£ 10,000","£ 520,000","£ 520,000",D,19,England,Leicester,Premier League,2020-2021
26,27,Hamza Choudhury,"£ 7,500","£ 390,000","£ 390,000",M,23,England,Leicester,Premier League,2020-2021
0,1,Thiago,"£ 200,000","£ 10,400,000","£ 10,400,000",M,29,Spain,Liverpool,Premier League,2020-2021
1,2,Mohamed Salah,"£ 200,000","£ 10,400,000","£ 10,400,000",F,28,Egypt,Liverpool,Premier League,2020-2021
2,3,Roberto Firmino,"£ 180,000","£ 9,360,000","£ 9,360,000",F,29,Brazil,Liverpool,Premier League,2020-2021
3,4,Virgil van Dijk,"£ 180,000","£ 9,360,000","£ 9,360,000",D,29,Netherlands,Liverpool,Premier League,2020-2021
4,5,James Milner,"£ 140,000","£ 7,280,000","£ 7,280,000",M,34,England,Liverpool,Premier League,2020-2021
5,6,Naby Keïta,"£ 120,000","£ 6,240,000","£ 6,240,000",M,25,Guinea,Liverpool,Premier League,2020-2021
6,7,Alex Oxlade-Chamberlain,"£ 120,000","£ 6,240,000","£ 6,240,000",M,27,England,Liverpool,Premier League,2020-2021
