,firstName,middleName,lastName,currentTeamId,weight,height,foot,country,cou_code,role,city,name,officialName,wyId
920,Robin,,Hack,2482,69,176,right,Germany,DE,Midfielder,Sinsheim,Hoffenheim,TSG 1899 Hoffenheim,2482.0
921,Vincent,,Thill,3777,60,168,left,Luxembourg,LU,Midfielder,Metz,Metz,FC Metz,3777.0
922,Benjamin,,Pavard,2445,76,186,right,France,FR,Defender,Stuttgart,Stuttgart,VfB Stuttgart 1893,2445.0
923,Jordan,,Torunarigha,2457,77,189,left,Germany,DE,Defender,Berlin,Hertha BSC,Hertha BSC,2457.0
924,Hotaru,,Yamaguchi,12811,72,173,right,Japan,JP,Midfielder,,,,
925,Alessandro,,Confente,3165,85,194,right,Italy,IT,Goalkeeper,Verona,Chievo,AC Chievo Verona,3165.0
926,Imad,,Faraj,3776,67,172,right,France,FR,Midfielder,Villeneuve-d'Ascq,Lille,Lille OSC Métropole,3776.0
927,Léo,,Dubois,3766,65,178,right,France,FR,Defender,Lyon,Olympique Lyonnais,Olympique Lyonnais,3766.0
928,Saîf-Eddine,,Khaoui,3771,68,182,left,France,FR,Midfielder,Marseille,Olympique Marseille,Olympique de Marseille,3771.0
929,Samuel,,García Sánchez,683,73,179,right,Spain,ES,Midfielder,Malaga,Málaga,Málaga Club de Fútbol,683.0
930,Brian Oladapo,,Idowu,13887,77,178,right,Russia,RU,Defender,,,,
931,Vincent,,Sierro,2453,75,185,right,Switzerland,CH,Midfielder,Freiburg im Breisgau,Freiburg,SC Freiburg,2453.0
932,Jorge,,Meré Pérez,2463,78,182,right,Spain,ES,Defender,K\u00f6ln,Köln,1. FC Köln,2463.0
933,Riccardo,,Orsolini,3166,73,183,left,Italy,IT,Forward,Bologna,Bologna,Bologna FC 1909,3166.0
934,Gerard,,Valentín Sancho,677,75,177,right,Spain,ES,Defender,A Coru\u00f1a,Deportivo La Coruña,Real Club Deportivo de La Coruña,677.0
935,Eden,,Massouema,3804,71,184,right,France,FR,Midfielder,Dijon,Dijon,Dijon FCO,3804.0
936,Eric ,,Dier,1624,90,188,right,England,,Midfielder,London,Tottenham Hotspur,Tottenham Hotspur FC,1624.0
937,Ademola,,Lookman,2975,78,174,right,England,,Midfielder,Leipzig,RB Leipzig,Rasen Ballsport Leipzig,2975.0
938,Sardar,,Azmoun,13895,79,186,right,Iran,IR,Forward,,,,
939,Bamidele,,Alli,1624,80,188,right,England,,Midfielder,London,Tottenham Hotspur,Tottenham Hotspur FC,1624.0
940,Amadou,,Diawara,3187,74,184,right,Guinea,GN,Midfielder,Castel Volturno,Napoli,SSC Napoli,3187.0
941,Karim,,Ansarifard,12509,75,186,right,Iran,IR,Forward,,,,
942,Quentin,,Boisgard,3780,75,174,right,France,FR,Midfielder,Toulouse,Toulouse,Toulouse FC,3780.0
943,Nabil,,Bentaleb,2449,78,187,left,France,FR,Midfielder,Gelsenkirchen,Schalke 04,FC Schalke 04,2449.0
944,Ehsan,,Hajsafi,12509,74,176,left,Iran,IR,Defender,,,,
945,Kévin,,Malcuit,3776,75,178,right,France,FR,Defender,Villeneuve-d'Ascq,Lille,Lille OSC Métropole,3776.0
946,Christopher,,Jullien,3780,88,196,right,France,FR,Defender,Toulouse,Toulouse,Toulouse FC,3780.0
947,Alireza,,Jahanbakhsh,1651,78,180,right,Iran,IR,Forward,"Brighton, East Sussex",Brighton & Hove Albion,Brighton & Hove Albion FC,1651.0
948,Ludovic,,Blas,3785,73,180,left,France,FR,Midfielder,Guingamp,Guingamp,En Avant Guingamp,3785.0
949,Marco Jhonfai,,Fabián De La Mora,2462,65,170,right,Mexico,MX,Midfielder,Frankfurt am Main,Eintracht Frankfurt,Eintracht Frankfurt,2462.0
950,Caleb,,Stanko,2453,81,180,right,United States,US,Midfielder,Freiburg im Breisgau,Freiburg,SC Freiburg,2453.0
951,Miguel Arturo,,Layún Prado,682,68,179,right,Mexico,MX,Defender,Villarreal,Villarreal,Villarreal Club de Fútbol,682.0
952,Allan,,Saint-Maximin,3775,67,173,right,France,FR,Forward,Nice,Nice,O.G.C. Nice Côte d'Azur,3775.0
953,Marc,,Navarro Ceciliano,691,79,188,right,Spain,ES,Defender,Barcelona,Espanyol,Reial Club Deportiu Espanyol,691.0
954,Marc,,Roca Junqué,691,74,184,left,Spain,ES,Midfielder,Barcelona,Espanyol,Reial Club Deportiu Espanyol,691.0
955,Oswaldo Augusto,,Vizcarrondo Araújo,3795,85,191,right,Venezuela,VE,Defender,Troyes,Troyes,Espérance Sportive Troyes Aube Champagne,3795.0
956,Raúl Alonso,,Jiménez Rodríguez,1629,81,187,right,Mexico,MX,Forward,,,,
957,Héctor Miguel,,Herrera López,9606,74,180,right,Mexico,MX,Midfielder,,,,
958,Luca,,Crosta,3173,78,190,right,Italy,IT,Goalkeeper,Cagliari,Cagliari,Cagliari Calcio,3173.0
959,Bruno Miguel,,Borges Fernandes,9608,69,179,right,Portugal,PT,Midfielder,,,,
960,Jesús Manuel,,Corona Ruíz,9606,62,173,right,Mexico,MX,Forward,,,,
961,Javier Ignacio,,Aquino Carmona,15417,59,168,right,Mexico,MX,Midfielder,,,,
962,Nordi,,Mukiele Mulere,3787,78,186,right,France,FR,Defender,Montpellier,Montpellier,Montpellier HSC,3787.0
963,Aleksandr,,Erokhin,13885,79,195,right,Russia,RU,Midfielder,,,,
964,Nicolas,,Haas,3172,74,178,right,Switzerland,CH,Midfielder,Ciserano,Atalanta,Atalanta Bergamasca Calcio,3172.0
965,Oğuzhan,,Özyakup,4489,75,180,right,Netherlands,NL,Midfielder,,,,
966,Bel Durel,,Avounou,3783,71,179,left,Congo,CG,Midfielder,Caen,Caen,Stade Malherbe Caen,3783.0
967,Ibrahim,,Sangaré,3780,77,191,right,C\u00f4te d'Ivoire,CI,Midfielder,Toulouse,Toulouse,Toulouse FC,3780.0
968,Quentin,,Cornette,3789,75,172,right,France,FR,Forward,Amiens,Amiens SC,Amiens SC,3789.0
969,Mohamet Airam,,Ramos Wade,675,85,189,right,Spain,ES,Goalkeeper,Madrid,Real Madrid,Real Madrid Club de Fútbol,675.0
970,Branislav,,Ivanović,13885,91,185,right,Serbia,RS,Defender,,,,
971,Amr Medhat,,Warda,12510,70,176,right,Egypt,EG,Midfielder,,,,
972,Sokratis,,Papastathopoulos,2447,85,186,right,Greece,GR,Defender,Dortmund,Borussia Dortmund,BV Borussia 09 Dortmund,2447.0
